draw,task_a_t10_balanced_accuracy_delta,task_c_macro_f1_delta,task_c_brier_delta
340,0.03684550743,-0.05917354642,0.02522114236
341,0.1019021739,-0.04180370289,0.01891283267
342,-0.05425101215,-0.01438786416,0.007945162851
343,0.1055555556,-0.07131056754,0.02915450518
344,0.006172839506,-0.05438083022,0.01891611877
345,0.01022727273,-0.03992161715,0.02714649575
346,0.006451612903,-0.04709665367,0.01936580875
347,0.05555555556,-0.05482226832,0.01902568682
348,-0.01477272727,-0.05151865793,0.01723262001
349,0.04667609618,-0.06007505587,0.0177806378
350,0.04926108374,-0.04660571386,0.01162414489
351,0.1083743842,-0.06943325429,0.03202794621
352,0.04908338261,-0.05779097017,0.02817656591
353,-0.02197802198,-0.04828026037,0.01724931714
354,0.04523950325,-0.05080783768,0.02319611649
355,0.1227621483,-0.05315650083,0.02673750131
356,0.06076276665,-0.03576026387,0.01694224829
357,0.05795454545,-0.06371425239,0.01634321773
358,-0.1311740891,-0.03464273713,0.01807863676
359,0.003843879361,-0.07584415625,0.03001464886
360,0.07165991903,-0.05640396717,0.02194577631
361,-0.009049773756,-0.04481965739,0.01502544449
362,-0.05510204082,-0.02939838169,0.01673095
363,0.01666666667,-0.03963736386,0.02430008878
364,0.04619565217,-0.05006927463,0.01974095744
365,0.02903225806,-0.08065438181,0.03352776467
366,-0.03333333333,-0.03565682857,0.01845576092
367,0.01842275372,-0.04786744642,0.02273219429
368,0.1182065217,-0.05476424928,0.02834333588
369,0.05395136778,-0.0778906955,0.03519068746
370,0.1064516129,-0.08349805453,0.02225369469
371,0.04863221884,-0.04328090027,0.01547192396
372,0.04977375566,-0.04876062394,0.0181081573
373,-0.01630434783,-0.04755716021,0.02449382224
374,0.07928118393,-0.05336780059,0.005948151312
375,-0.0393258427,-0.05233769865,0.02163758343
376,0.0960591133,-0.062883463,0.01941220006
377,0.1469344609,-0.05415040702,0.02448576581
378,-0.02717391304,-0.04420596931,0.01854340607
379,0.1075533662,-0.07057348127,0.02400059979
380,0.04938271605,-0.05616214707,0.01738342129
381,0.03401534527,-0.06242680627,0.02083764985
382,0.04545454545,-0.06481222928,0.02401495919
383,0.006882591093,-0.05712244251,0.02567300192
384,-0.03977272727,-0.06661446435,0.01971109442
385,0.005913660556,-0.02676343725,0.0201507559
386,0.05754475703,-0.08135155488,0.03142344884
387,0.05496828753,-0.05337794812,0.01600536601
388,0.01292824822,-0.05305404173,0.02567963821
389,0.1428571429,-0.06861533274,0.02682848989
390,0.08823529412,-0.06177351421,0.02375670616
391,-0.09444444444,-0.05584961178,0.02247040582
392,0.01696428571,-0.0343648133,0.01970266538
393,0.004545454545,-0.04650383584,0.02704326285
394,0.1236413043,-0.02090140628,0.009782616494
395,0.07744565217,-0.05696663959,0.02600224939
396,-0.008192771084,-0.05430348378,0.02172234908
397,-0.002976190476,-0.06122651786,0.01727348772
398,0.08054711246,-0.04853945504,0.02739910011
399,-0.07840909091,-0.03643515121,0.0233958575
400,-0.006871035941,-0.06083185412,0.02512938344
401,0.04987951807,-0.05316066518,0.02777218493
402,0.1064777328,-0.03295476292,0.00901228313
403,0.03333333333,-0.06727984789,0.02777429256
404,-0.02352941176,-0.06800530202,0.03411934109
405,0.07327935223,-0.05330640396,0.02402541066
406,0.05933503836,-0.05569477005,0.02344561655
407,-0.0821686747,-0.04600988204,0.01643883839
408,-0.03548196334,-0.0410167823,0.01323428977
409,-0.03846153846,-0.03100309217,0.01758573515
410,-0.05670103093,-0.05171070393,0.02903251647
411,0.04076086957,-0.03123400139,0.01677380766
412,-0.001057082452,-0.04576649524,0.01753647071
413,0.03125,-0.05265620031,0.02964108102
414,0.1041666667,-0.04415609442,0.01689108716
415,0.01666666667,-0.03751392857,0.01892383883
416,0.06590909091,-0.04598538285,0.01806255857
417,0.09038054968,-0.05051217991,0.02218877076
418,0.01585623679,-0.0466842438,0.02261419926
419,0.1080314273,-0.05327721987,0.029597591
420,0.02887537994,-0.06394579928,0.01949558575
421,0.01234567901,-0.03272089736,0.009928111823
422,0.05222672065,-0.0342661009,0.01592823561
423,0.09226190476,-0.04413069541,0.01818232804
424,0.06712473573,-0.04013797388,0.01712851298
425,0.05178571429,-0.05177276893,0.02402745652
426,0.03015966884,-0.08129032095,0.0254908091
427,0.04090909091,-0.04426226927,0.02740793931
428,0.1510416667,-0.06286380921,0.02080691785
429,0.06363636364,-0.04911706987,0.01639057787
430,0.07222222222,-0.04631788649,0.0195051212
431,0.03810741688,-0.04632787338,0.02675247776
432,0.1,-0.07995390803,0.03026793871
433,-0.008152173913,-0.04597387828,0.02113763633
434,0.002279635258,-0.05750255199,0.02900466851
435,0.01111111111,-0.05708163068,0.0209935431
436,0.05555555556,-0.05857340176,0.0202356678
437,0.01395730706,-0.0480494096,0.01670002326
438,0.02429149798,-0.06173521868,0.02406405804
439,0.04516129032,-0.04488963997,0.01916055451
440,0.03015966884,-0.05959315485,0.02443883751
441,0.06666666667,-0.05902904405,0.02248843522
442,0.01720430108,-0.04972433496,0.01900481413
443,-0.05829228243,-0.0475104973,0.02473603207
444,0.08295454545,-0.04033693799,0.01979167126
445,-0.007672634271,-0.05588706327,0.01502651819
446,0.006172839506,-0.05600075123,0.01422886967
447,-0.004105090312,-0.04330355432,0.0183909113
448,0.06765327696,-0.05322130925,0.01995152344
449,0.1572948328,-0.06221701337,0.01138643559
450,0.04701360142,-0.06805842684,0.02295961543
451,0.09760827408,-0.07115643316,0.02844763313
452,0.09444444444,-0.02763590533,0.0211947429
453,0.07849462366,-0.02812692619,0.01277829232
454,0.01902173913,-0.05907617998,0.02444213467
455,0.005555555556,-0.04298886477,0.01627535206
456,-0.006793478261,-0.05820996429,0.02164668043
457,0.08446093409,-0.0662256361,0.02119192278
458,0.1101190476,-0.05735393153,0.02580872283
459,0.06978119456,-0.05603413052,0.02017414114
460,0.1160714286,-0.0500691727,0.02394523904
461,0.08125,-0.04209431109,0.01101204006
462,0.03440860215,-0.06096926776,0.02263389396
463,0.05882352941,-0.06302433787,0.01986488436
464,0.04987951807,-0.06054085173,0.02406953707
465,0.01666666667,-0.03913419004,0.02474070423
466,0.03419452888,-0.03553890155,0.01877035062
467,-0.0618556701,-0.07536196686,0.03134335946
468,0.0375,-0.04548396561,0.0151420469
469,-0.0002409638554,-0.04318638581,0.0183499481
470,0.02795180723,-0.04481003605,0.01948871006
471,0.05526826115,-0.05964215359,0.02112566476
472,0.01494565217,-0.01807963261,0.009229100419
473,0.02222222222,-0.05728832297,0.02011431534
474,0.0221987315,-0.05947665255,0.02035759615
